Sport;Das 314. Wiener Derby war durchaus hitzig und rassig. Es brachte mit Rapid einen klaren Sieger, möglicherweise hat sich doch der Favorit einmal durchgesetzt. Die Hütteldorfer geigen momentan durchs Land. Rapid rotiert, eigentlich lässt Zoran Barisic, der sich vor dem Derby als Trainer und nicht als Animateur bezeichnet hat (niemand hat je daran gezweifelt), rotieren. Im Vergleich zum Wolfsberg-Spiel wurden gleich sechs Herren ausgetauscht, die Neuen waren durchaus prominent. Jan Novota, Mario Sonnleitner, Steffen Hofmann, Thanos Petsos, Florian Kainz und Stephan Auer begannen. Und fünf andere auch. Austrias Trainer Thorsten Fink gab seine Derby-Premiere, wobei der Deutsche wusste, dass es in diesem Spiel keinen Favoriten geben kann. Es war heiß in der ausverkauften Generali Arena, bei Anpfiff hatte es immer noch mehr als 30 Grad, die 314. Auflage war also zumindest von den äußeren Bedingungen gnadenlos. Das sportlich Spezielle war, dass der Erste, Rapid, auf den Zweiten, logischerweise die Austria, traf. Diese Konstellation gibt es ungefähr alle acht Jahre. Nur einmal wird Austria-Legende Herbert Prohaska 60, er wurde abgefeiert, mit Sprechchören bedacht. Prohaska war gerührt, frage nicht – gute Nacht. Die Austria startete forsch, der Nigerianer Kayode beschäftigte die Rapid-Abwehr, allein die ganz großen Chancen konnten nicht kreiert werden. 17. Minute: Freistoß Rapid, Hofmann flankt, Außenverteidiger Stefan Stangl schraubt sich in die Höhe, köpfelt das 0:1. An der Zuordnung muss die Austria noch arbeiten. 27. Minute: Rapid liefert den Beweis, richtig stark zu sein. Balleroberung, ein Konter aus dem Bilderbuch, erst Stangl, dann Robert Beric und zuletzt Philipp Schobesberger, der trocken auf 0:2 stellt. 33. Minute: Stefan Schwabs Bogenschuss aus 18 Metern kann Robert Almer wirklich nicht halten, also 0:3. Immerhin ist die Austria danach nicht abgetreten. 45. Minute: Sonnleitner legt im Strafraum Alexander Gorgon, der Gefoulte verwandelt den Elfer im Nachschuss. Das 1:3 sorgte für Hoffnung. Die Austria kam hellwach aus der Kabine, Moral und Wille sind der Mannschaft nicht abzusprechen. Rapid wurde bisweilen eingeschnürt. 52. Minute: Kayode prüft Novota. Aber die Austria macht Fehler, fatale Fehler. 56. Minute: Ballverlust, Schobesberger schickt Hofmann in die Gasse, der Kapitän macht das 1:4, jubelt, lässt sich durch Louis Schaub ersetzen. Das Derby war somit gegessen. 66. Minute: Beric köpfelt das 1:5, die naive Austria ward nicht nur geschlagen, sondern gedemütigt. Wenigstens konnte Gorgon auf 2:5 verschönern (73.). Rapid ist an Cleverness kaum zu überbieten, das Umschaltspiel klappt vorzüglich. Seit 16 Ligaspielen sind die Grünen ungeschlagen, nach vier Runden halten sie beim Maximum von zwölf Zählern. Es war zuerst hart umkämpft, aber wir hätten in der zweiten Halbzeit mehr Tore machen müssen, sagte Hofmann. Fink: Kein Vorwurf an die Mannschaft. (Christian Hackl, 12.8.2015) FK Austria Wien – SK Rapid Wien 2:5 (1:3) Wien, Generali-Arena, 12.500 Zuschauer (ausverkauft), SR Hameter. Torfolge: 0:1 (17.) Stangl0:2 (27.) Schobesberger0:3 (33.) Schwab1:3 (45.+2) Gorgon (Elfmeter-Nachschuss)1:4 (56.) S. Hofmann1:5 (66.) Beric2:5 (72.) Gorgon Austria: Almer – F. Koch (82. De Paula), Sikov, Stronati, Martschinko – Vukojevic (67. Serbest), Holzhauser – Gorgon, A. Grünwald (60. Friesenbichler), Kehat – Kayode Rapid: Novota – Auer, Sonnleitner, Dibon (46. M. Hofmann), Stangl – Petsos, Schwab – Schobesberger, S. Hofmann (57. Schaub), F. Kainz – Beric (74. Alar) Gelbe Karten: Vukojevic, Holzhauser, Kayode, Friesenbichler bzw. Sonnleitner, Petsos, Auer
Web;Nach A1 und "3" hat nun auch T-Mobile seine Gebietsabfrage gestartet. Wo in Österreich die vierte Mobilfunkgeneration LTE verfügbar ist, können nun auch T-Mobile-Kunden seit kurzem online nachsehen. Der Anbieter hat seine LTE-Gebietsabfrage sowie die weiteren Ausbaupläne veröffentlicht. Bei A1 und 3 ist das schon länger möglich. Die T-Mobile-Karte zeigt in den noch nicht abgedeckten Gebieten, ob LTE voraussichtlich bis Jahresende oder in den nächsten acht Wochen verfügbar sein wird. Sofern es gar keine Auskunft gibt, kann man sich in eine Liste eintragen, um später Informationen zu erhalten. Bei A1 wird für die angegebene Adresse auf einer Straßenkarte zusätzlich angezeigt, welche Maximalgeschwindigkeit zur Verfügung steht. 3 gibt nur an, ob LTE verfügbar ist oder nicht. T-Mobiles LTE-Ausbau wird mit der Aktion Testen wie ich will begleitet, bei dem Kunden das Netz selbst mit einem Apple iPhone 6 oder Samsung Galaxy S6 vier Wochen kostenlos testen und weiße Flecken finden sollen. Alle drei Mobilfunker wollen ihren Netzausbau bis Jahresende abschließen.
Sport;FBI-Kronzeuge spricht über Vorfälle im Vorfeld der WM 1998 in Frankreich und  der WM 2010 in Südafrika. New York - FBI-Kronzeuge Chuck Blazer hat zugegeben, dass er und andere Mitglieder des FIFA-Exekutivkomitees Bestechungsgelder bei der Vergabe der Fußball-WM 2010 in Südafrika akzeptiert hatten. Auch vor der Vergabe für das WM-Turnier 1998 in Frankreich soll es zu Unregelmäßigkeiten gekommen sein. Dies geht aus den Zeugenaussagen des 70-Jährigen aus dem Jahr 2013 hervor, die am Mittwoch in New York veröffentlicht worden sind. Ex-US-Verbandschef Blazer war langjähriges Mitglied des Exekutivkomitees des Fußball-Weltverbandes. Nach der Anklage durch die US-Justiz zeigte er sich kooperativ und soll unter anderem bei den Olympischen Spielen 2012 in London heimlich Funktionärs-Gespräche aufgenommen haben. In einem New Yorker Krankenhaus  Chuck Blazer gestand weiters, er selbst und andere hätten Geld im Zusammenhang mit der Vergabe von TV-Übertragungsrechten für verschiedene Gold Cup-Turniere zwischen 1998 und 2003 angenommen. Diese Zeugenaussagen des 70-Jährigen aus dem Jahr 2013 wurden am Mittwoch von einem New Yorker Gericht veröffentlicht. Blazer bekannte sich dabei als schuldig. Der krebskranke Blazer kam 2013 nach einer Kautionszahlung von zehn Millionen Dollar auf freien Fuß und liegt nach Angaben der New York Times derzeit in einem New Yorker Krankenhaus. Die Aussagen Blazers über Bestechung bei der WM-Vergabe gelten als brisant: Bisher ermitteln die US-Behörden zwar gegen mehrere FIFA-Funktionäre wegen Bestechung und Korruption, Ermittlungen wegen WM-Vergaben wurden allerdings bisher nicht offiziell bestätigt. Besonders die WM-Vergabe nach Russland 2018 und Katar 2022 gelten als höchst umstritten. In den am Mittwoch veröffentlichten Zeugenaussagen bekennt sich Blazer auch des Betrugs gegenüber der FIFA sowie der Steuerhinterziehung schuldig.
International;Der gemäßigte Konservative konnte auch Abgeordnete aus dem Lager der Reformer mobilisieren. Teheran – Der iranische Parlamentspräsident Ali Larijani ist mit deutlicher Mehrheit im Amt bestätigt worden. Bei dem Votum stimmten am Sonntag 173 Parlamentarier für den gemäßigt konservativen Politiker, 103 Abgeordnete gaben ihre Stimme seinem Herausforderer Mohammed Reza Aref aus dem Reformer-Lager. Der bisherige Parlamentspräsident galt im Vorfeld bereits als erneuter Favorit für den wichtigen Posten. Larijani gehört dem konservativen Lager an, hat aber das im Juli 2015 von Präsident Hassan Rohani mit den Weltmächten geschlossene Atomabkommen unterstützt. Dieses führte im Jänner zur Aufhebung der im Atomstreit verhängten Finanz- und Handelssanktionen. Bei den Parlamentswahlen Ende Februar und Ende April hatten die Konservativen ihre bis dahin dominierende Stellung verloren. Dem offiziellen Ergebnis zufolge erhielt das Lager der Reformer 133 Sitze, das der Konservativen 125 Mandate. Ein großer Teil der Abgeordneten ist zudem unabhängig. Larijani gelang es nun, auch eine Reihe von Moderaten und Reformern sowie Unabhängigen zu überzeugen. Das neu gewählte Parlament war am Samstag erstmals zusammengetreten. Das geistliche Oberhaupt Ayatollah Ali Khamenei rief die Abgeordneten auf, ein Bollwerk gegen die Listen und die unverschämten Forderungen der Gegner des Landes zu sein. Rohani sagte in der Majlis, um die Probleme des Landes zu lösen, müssen Regierung und Parlament zusammenarbeiten.
Web;Domain bereits vor sieben Jahren reserviert – Betreiber wollen zu Diskussion über Schwulenrechte anregen. Der republikanische US-Präsidentschaftkandidat Jeb Bush hat ein kleines Internet-Problem. Nutzer, die beim Suchanbieter Google Jeb Bush for president eingeben, finden die Website eines homosexuellen Paares in der Ergebnisliste ganz oben. Die Homepage des Bruders von Ex-Präsident George W. Bush erscheint hingegen erst weiter unten. Die Besitzer der Adresse www.jebbushforpresident.com sind C.J. Phillips und Charlie Rainwater aus dem Bundesstaat Oregon. Die beiden Technik-Fans hätten die Domain bereits 2008 aus Spaß reserviert, sagten sie in Interviews mit US-Medien. Als Bush Kandidatur konkret wurde, hätten sie beschlossen, auf ihrer Seite zur Diskussion über die Schwulenrechte im Land anzuregen. Wir hoffen, dass die Leute herausfinden können, dass wir – die Lesben, Schwulen, Bi- und Transsexuellen und anderen Queer-Leute – nicht die Andersartigen sind, als die wir von so vielen dargestellt werden. Wir haben dieselben Hoffnungen, Träume und Wünsche wie jeder andere auch, sagte sie in einem Interview der Website Gawker. Das Wahlkampfteam des Republikaners habe sich noch nicht bei ihnen gemeldet. Jeb Bush lehnt die Homoehe nicht explizit ab.
Inland;Kommende Woche erscheint das neue Buch des ehemaligen Grünen-Chefs – dezidiert nicht als Programm eines Präsidentschaftskandidaten. STANDARD: Die genaue Lektüre Ihres Buches legt die Frage nahe: Dürfen Politiker lügen? Van der Bellen: Na ja: Das kommt darauf an. Ich nehme an, Sie spielen auf eine Episode aus dem Parlament an – wo es um die Zahlungsunfähigkeit Griechenlands gegangen ist ... STANDARD: Und wo Sie recht freimütig meinten: Sie haben Verständnis dafür, wenn die Finanzministerin die Unwahrheit gesagt hat. Van der Bellen: Es ging dabei um eine Parlamentsdebatte zu einem Zeitpunkt, zu dem ich meine, dass Finanzministerin Maria Fekter ebenso wie ich der Meinung war, dass Griechenland insolvent ist und nicht nur illiquid. Dennoch hat sie auf eine Anfrage des BZÖ geantwortet, dass Griechenland nicht insolvent wäre. Das ist eine zu rechtfertigende Unwahrheit. STANDARD: Weil man die Wahrheit nicht hätte sagen dürfen? Van der Bellen: Wenn sie dem Ausdruck gegeben hätte, was ich für ihre wirkliche Meinung, die ich natürlich nicht kennen kann, gehalten habe, dann hätte das sofort zu Turbulenzen auf den Finanzmärkten führen können, mit Ansteckungsgefahr für Spanien und Italien. Mit Konsequenzen, die jedenfalls nicht Ministerin Fekter hätte beherrschen können, sondern – wenn überhaupt – wieder einmal nur die Europäische Zentralbank. STANDARD: Wenn ein österreichischer Minister aus dem europäischen Konsens ausschert, führt das zu internationalen Turbulenzen? Van der Bellen: Das wäre nicht unwahrscheinlich. Es macht auf den Finanzmärkten einen entscheidenden Unterschied, ob ich als Chef einer kleinen Oppositionspartei so etwas sage – was ich in der Debatte auch gesagt habe – oder ob das eine Finanzministerin sagt. Sie kennen die Parabel von des Kaisers neuen Kleidern: Die Kinder dürfen auf den Kaiser zeigen und sagen, dass er nackt ist. Der Hofmarschall darf das nicht. STANDARD: Und im Sinne der europäischen Räson müssen die Regierenden auch lügen? Van der Bellen: Um große Risiken wie das beschriebene zu vermeiden, darf man notfalls die Unwahrheit sagen. STANDARD: Hatten Sie im Lauf Ihrer Politikerkarriere öfter den Eindruck, dass Ihr Gegenüber Sie belügt – dass der- oder diejenige es doch eigentlich besser wissen? Van der Bellen: Nein. Nicht oft. Ausweichende Antworten – das ja. Glatte Unwahrheit: selten.  Ich bin da auf eine Glosse von Franz Walter vor einigen Jahren im Spiegel gestoßen, wo er einigen Politikern wie etwa Churchill nachgewiesen hat, dass sie die Unwahrheit gesagt haben. Würde man deshalb sagen, dass Churchill ein schlechter Politiker war? STANDARD: Wohl eher nicht. Van der Bellen: Zu diesem Schluss kommt auch Walter. Aber das ist natürlich kein Freibrief für Kleingeister aller Art, zu meinen, dass man immer und jederzeit herumlügen kann. Das natürlich nicht. STANDARD: Und wie ist es Ihnen selber gegangen? Ich meine: In Parteigremien kann man auch nicht immer alles sagen, sonst wird man wohl nicht gewählt? Van der Bellen: In Parteigremien darf man schon die Wahrheit sagen – aber wenn man dann hinausgeht aus dem Gremium, und es wurde dort etwas beschlossen, mit dem man vielleicht nicht einverstanden war, wo man also seine andere Position nicht durchsetzen konnte – da muss man gleichwohl dem STANDARD nachher sagen:  Großartig, was wir da wieder Tolles beschlossen haben! Das ist schon vorgekommen ... STANDARD: Hat Ihnen das wehgetan? Van der Bellen: Manchmal schon. STANDARD: Es gibt aber auch Dinge, wo Sie sagen: Das geht niemanden etwas an. So raten Sie jungen Politikern davon ab, sich für Homestorys herzugeben, wie das durchaus auch Grüne gemacht haben. Van der Bellen: Es hat mehr oder weniger spektakuläre Einzelfälle gegeben wie Thomas Klestil mit dem berühmt-berüchtigten News-Interview über seine Privatsphäre. Oder Karl-Heinz Grasser – der hat das ja inszeniert. Aber wenn Sie das mit England und USA  vergleichen, dann haben wir hier noch ein Paradies der Privatsphäre. STANDARD: Politisch muss man doch viele Dinge vertraulich halten? Sie sind – anders, als man das von vielen Grünen kennt – nicht apodiktisch gegen das Freihandelsabkommen TTIP, das ja im Wesentlichen geheim verhandelt wird. Da kommt es wohl auf das richtige Maß an? Van der Bellen: Ja, das ist nicht immer ganz einfach. Dass man bei Verhandlungen hin und wieder eine Woche oder auch drei Wochen etwas vertraulich verhandeln können muss, damit tragfähige Lösungen überhaupt möglich werden, ist klar. Wenn alles jederzeit im Licht der Öffentlichkeit passiert, dann sind Verhandlungen von vornherein zum Scheitern verurteilt. Die Frage ist: Wann gebe ich was weiter? Das ist eine Gratwanderung. Aber das ist kein TTIP-Phänomen, das ist in jeder Verhandlung so. STANDARD: Was hätten Sie anders gemacht, wo hätten Sie, rückblickend betrachtet, ehrlich sagen müssen, dass da etwas falsch läuft? In Ihrem Buch habe ich keine solche Stelle gefunden ... Van der Bellen: Wie meinen Sie das? Politisch? STANDARD: Politisch. Persönlich werden Sie ja nicht sagen: Es war ein großer Fehler, in die Politik zu gehen, oder? Van der Bellen: (lacht) Nein, das werde ich nicht sagen. Aber es gibt Sachen, die mich im Nachhinein schon geärgert haben, weil ich dem Konflikt ausgewichen bin. Wann hat sich die Frage gestellt, ob sich Österreich am Tschad-Einsatz beteiligt? STANDARD: 2007. Van der Bellen: Ja, richtig. Da ist monatelang verhandelt worden: Wie viele Soldaten schicken die Franzosen, wie viele schicken die anderen? In der Neuen Zürcher waren durchaus kritische Kommentare, dass das im Kern eine französische Aktion ist mit einigem Beiwerk ... STANDARD: Ein nicht ganz unberechtigtes Argument? Van der Bellen: Das war es de facto – na und? Die kennen sich am besten aus in der Region. Ich war jedenfalls der Meinung: Die Voraussetzungen für eine Beteiligung des Bundesheeres liegen vor. Ich habe das unter vier Augen auch der damaligen Außenministerin Ursula Plassnik gesagt. Einige Wochen später merke ich, dass unsere außenpolitische Sprecherin und unser Sicherheitssprecher sich darauf geeinigt haben: nein, doch kein Bundesheer im Tschad. Statt das auszutragen, statt zu sagen: Moment, das könnt ihr nicht hinter meinem Rücken machen!, habe ich klein beigegeben. Das war mir so zuwider, zuerst Ja zu sagen und dann Nein, weil sich parteiintern etwas geändert hatte. STANDARD: Und Ihre Konsequenz daraus? Van der Bellen: Man muss im Einzelfall entscheiden: Ist es einem der Mühe wert, sich da einer Kampfabstimmung auszusetzen, oder geht man den Weg des geringeren Widerstands. Ich hätte das ausfechten sollen, ich wäre vielleicht untergegangen. Na und? Es wäre nicht das erste Mal gewesen. STANDARD: Es wird Sie nicht überraschen, wenn ich jetzt ehrlich frage, ob Sie sich schon zu einer Kandidatur entschlossen haben? Sie haben geschrieben, dass Ihre Entscheidung bei Erscheinen des Buches vielleicht noch nicht gefallen sein wird. Haben Sie entschieden? Van der Bellen: Vielleicht. Aber ich werde zum richtigen, angemessenen Zeitpunkt diese Entscheidung Ja oder Nein bekanntgeben. Und jetzt scheint mir nicht der richtige Zeitpunkt zu sein. Nebenbei: Alle anderen tun es ja auch nicht. STANDARD: Aber Sie berichten, offenbar nicht ohne Koketterie, dass Sie zweimal in der Woche von wildfremden Menschen angesprochen werden und zur Kandidatur aufgefordert werden, dass Sie es doch machen sollen? Van der Bellen: Ist das kokett? Hätte ich den Part aus dem Buch wieder rausnehmen sollen? (lacht) Natürlich freut einen das in gewisser Weise – aber es belastet einen auch, denn es wird ja da ein Anspruch erhoben. Auf der anderen Seite: Wo fahre ich mit der U-Bahn, der Straßenbahn? Nähe sechster Bezirk, siebenter Bezirk, erster Bezirk. Das sind grüne Bezirke – jedenfalls nicht feindliches Ausland. STANDARD: Bei mir daheim in Favoriten würden Sie womöglich nicht einmal erkannt werden ... Van der Bellen: Eben. Ich bin eh überrascht, dass mich so viele Leute kennen, wo ich doch so lange schon nicht mehr fernsehpräsent bin. Selbst jüngere Leute, wo ich mir denke: Der muss zwölf gewesen sein, als ich aus dem Parlament ausgeschieden bin – der kennt mich. Erstaunlich.
Web;'PwC Global Economic Crime Survey 2016: Fast die Hälfte aller Wirtschaftskriminalitätsdelikte von Ex-Mitarbeitern. Bei Firmen in aller Welt geht die Furcht vor Cyber-Betrügern um. Die Angst vor Datenkriminellen, Hacker-Angriffen und Viren-Verseuchungen hat den höchsten Wert seit sechs Jahren erreicht. Das geht aus der Studie PwC Global Economic Crime Survey 2016 hervor. Dafür wurden 6.000 Teilnehmer in 115 Ländern in einer Online-Erhebung befragt. Auch in Österreich. Wie die internationale Wirtschaftsprüfungs- und Beratungsgesellschaft PwC am Donnerstag schrieb, wurden zudem im 19th Global CEO Survey über die stärksten Bedrohungen für Organisationen Bestechung und Korruption als jene Bedrohung genannt, die von 51 Prozent auf 56 Prozent zuletzt am markantesten zugenommen habe. In Österreich sorgten sich aktuell 34 Prozent der Unternehmenschefs um Wirtschaftskriminalität und 47 Prozent um Cyberkriminalität. Immer mehr Konzerne und Organisationen sind betroffen: Mehr als ein Drittel (36 Prozent) war in den letzten zwei Jahren mit Fällen von Wirtschaftskriminalität konfrontiert. Knapp ein Drittel (32 Prozent) war von Cyberkriminalität betroffen – der höchste Wert, der je in der alle zwei Jahre stattfindenden Umfrage zum Thema Global Economic Crime von PwC gemessen wurde. Die aktuelle Umfrage fand zwischen Juli 2015 und Februar 2016 statt. Ein Detail aus der Auswertung betrifft das Betrügerprofil: Knapp die Hälfte der schwerwiegenden Vorfälle von Wirtschaftskriminalität gehe auf das Konto von Personen, die bei der betroffenen Organisation beschäftigt waren. Diese internen Betrüger sind zumeist männliche Universitätsabsolventen, die bereits drei bis fünf Jahre im Unternehmen tätig waren, zwischen 31 und 40 Jahren alt sind und eine Funktion im mittleren bzw. gehobenen Management bekleiden, schildert PwC. In Summe sind trotz eines – erstmals seit der Finanzkrise 2008/09 – global festgestellten leichten Rückgangs der Wirtschaftskriminalität seien die finanziellen Kosten durch einzelne Betrugsfälle gestiegen: 14 Prozent der Befragten erlitten in den letzten beiden Jahren Verluste von über 1 Mio. Dollar. Und dabei seien es, so die Umfrage, nicht die hohen Verluste durch solche Angriffe, die am meisten schmerzen, sondern vor allem Reputationsschäden sowie Anwalts-, Investitions- und Strafverfolgungskosten. Insgesamt – über alle 115 Länder – sind die Wirtschaftskriminaldelikte zwar leicht gesunken, regional aber gab es große Unterschiede. Rückläufig war die Zahl der Delikte in Nordamerika und in Osteuropa, nicht aber in Westeuropa. Hier stieg die Zahl der Wirtschaftskriminalfälle, noch stärker in Afrika. So hätten 68 Prozent der französischen und 55 Prozent der britischen Befragten in den letzten 24 Monaten Fälle von Wirtschaftskriminalität gemeldet – laut PwC ein Viertel mehr als 2014. Häufigste Formen der Wirtschaftskriminalität sind Unterschlagung (64 Prozent), Cybercrime (32 Prozent) sowie Bestechung und Korruption (24 Prozent). Aus dem Finanzsektor wurden in den letzten beiden Jahren die meisten Fälle von Wirtschaftskriminalität berichtet. Gleich danach folgen öffentlicher Sektor, Handel und Konsumgüterindustrie. Bei Luftfahrt und Verteidigung gab es mit 9 Prozent den markantesten Anstieg. In der Transport/Logistiksparte ging es stärker um Bestechung und Korruption. Hackerangriffe auf Daten, Viren-Verseuchungen und Datendiebstähle haben stark zugenommen. Bei der Cyberkriminalität gab es einen Anstieg der berichtete Vorfälle um 8 Prozent auf 32 Prozent. Finanzdienstleister meldeten das höchste Ausmaß an Hacker- und sonstigen Angriffen auf ihre Daten (52 Prozent). Stark betroffen sind auch Kommunikationsunternehmen. Mehr als die Hälfte der befragten Manager und Abteilungsleiter verspürte in den letzten 24 Monaten eine zunehmende Bedrohung; 34 Prozent halten es für wahrscheinlich, dass ihre Organisationen in den kommenden 24 Monaten von Cyberkriminalität betroffen sein werden.'
International;Militär setzt Offensive an Grenze zu Afghanistan fort. Islamabad – Bei Angriffen der pakistanischen Luftwaffe sind nahe der Grenze zu Afghanistan am Donnerstag 43 mutmaßliche Extremisten getötet worden. Es seien Ziele in Gharlamai und Shawal in der Region Nordwaziristan angegriffen worden, teilte das Militär in Islamabad mit. Es handle sich um eine Fortsetzung der Offensive gegen Taliban und andere Extremisten. Das Krisengebiet liegt abgelegen und ist für Journalisten gesperrt. Die Opferangaben des Militärs konnten deshalb nicht überprüft werden. Die pakistanische Regierung kämpft seit mehr als zehn Jahren gegen einen Aufstand der radikalislamistischen Taliban. Im Juni vergangenen Jahres startete das Militär eine Offensive in Nordwaziristan. Die Offensive wurde in den vergangenen Wochen noch verstärkt. Insgesamt wurden dabei nach offiziellen Angaben mehr als 3.000 Extremisten getötet.
International;"Die Union muss einmal wieder ein Projekt formulieren, was wir wollen" – Treffen der deutschen Koalitions-Spitzen am Abend. München – Vor dem Koalitions-Spitzentreffen am Mittwochabend in Berlin hat CSU-Chef Horst Seehofer Kanzlerin Angela Merkel (CDU) vor einem weiteren Abrutschen in der Wählergunst gewarnt. Umfragewerte von 32 Prozent für die Unionsparteien im Bund seien ein Tiefpunkt, sagte Seehofer der dpa in München – und warnte: Wenn wir unsere Politik nicht ändern in Berlin, dann werden wir unter 30 Prozent rutschen. Der bayerische Ministerpräsident betonte: Die Union muss einmal wieder ein Projekt formulieren, was wir wollen. Auf die Frage, welche Erwartungen er an seine Gespräche am Abend in Berlin habe, sagte Seehofer: Wenig. Im Streit mit Merkel über die Flüchtlingspolitik bleibt Seehofer trotz der massiv gesunkenen Flüchtlingszahlen bei seiner Klagedrohung. Einen Antwortbrief Merkels auf das bayerische Forderungsschreiben hatte er bis Dienstag nach eigenen Angaben noch nicht bekommen. Der CSU-Chef betonte aber: Der Eingang eines Briefes ist nicht zwingende Voraussetzung für die Einreichung einer Klage. Bayern verlangt vom Bund unter anderem effektive, umfassende Grenzkontrollen und eine Obergrenze für Flüchtlinge. Seehofer machte deutlich, dass er die gesunkenen Flüchtlingszahlen eindeutig nicht als Ergebnis von Merkels Politik sieht, sondern als Resultat der Grenzschließungen auf der Balkanroute. Die Entwicklung, die wir jetzt erleben, ist vor allem eine Entwicklung durch Österreich und Mazedonien. Das wolle er Merkel am Mittwochabend auch anhand eines Schaubildes verdeutlichen – darauf sind die täglichen Flüchtlingszahlen seit über einem Jahr in einer Kurve dargestellt. Merkel und Seehofer werden zunächst unter vier Augen sprechen. Später wird der SPD-Vorsitzende Sigmar Gabriel dazustoßen. Die Parteichefs wollen Lösungen für Streitthemen wie die Reform der Erbschaftsteuer, Neuregelungen bei Leiharbeit und Werkverträgen sowie die geplante Lebensleistungsrente suchen. Die Flüchtlingskrise wird ein weiteres Thema sein.
Etat;7.500 Euro wegen unter anderem übler Nachrede und Verletzung der Unschuldsvermutung. Urteil noch nicht rechtskräftig. Wien – Die Tageszeitung Österreich ist am Montag wegen der Veröffentlichung eines falschen Fotos des Copiloten nach dem Germanwings-Unglück zu einer Entschädigung von 7.500 Euro verurteilt worden. Das unverpixelte Foto hatte sich auf dem Cover befunden, der abgebildete 38-jährige Deutsche klagte daraufhin das Blatt – DER STANDARD berichtete. Zudem wurde der Zeitung die Veröffentlichung des Urteils aufgetragen. Der Richterspruch ist allerdings noch nicht rechtskräftig. Beide Parteien werden das Urteil bekämpfen. Die Rechtsvertreterin des Deutschen, Medienanwältin Maria Windhager, gab vorerst keine Erklärung ab, Österreich-Anwalt Peter Zöchbauer kündigte volle Berufung an. Das im März abgedruckte Foto zeigte nicht den Copiloten, sondern einen völlig unbeteiligten Mann, einen gebürtigen Deutschen, der nun in Bern lebt. Einzige Gemeinsamkeit des 38-Jährigen mit dem Copiloten waren die Vornamen. Das Bild, das vom Facebook-Profil des 38-Jährigen stammte und offenbar über einen Tweet veröffentlicht wurde, gelangte zu einer Bildagentur, die das Foto sogar bis nach Südamerika verbreitete. Der Deutsche wurde von Verwandten und Freunden kontaktiert, was es denn damit auf sich habe, dass sein Konterfei unter den Schlagzeilen des Germanwings-Absturzes zu finden sei. Reporter aus aller Welt riefen beim Arbeitgeber des 38-Jährigen in der Schweiz an, sodass schlussendlich die gesamte Presseabteilung des Unternehmens damit beschäftigt war, den Irrtum richtigzustellen. Auf Facebook wurde der Mann attackiert und beleidigt. Alle möglichen Leute, die mich für den Echten hielten, haben mich beschimpft und verflucht, erzählte der extra nach Wien gereiste Kläger. Auch die Lebensgefährtin des 38-Jährigen – von den Journalisten als Freundin eines Mörders gejagt – wurde bei einem Geschäftsessen mit ihrem Chef von 30 bis 40 Reportern belagert und um ein Interview gebeten. Die Medien kontaktierten nicht nur ihre gesamte Familie, sondern riefen auch bei ihrem ehemaligen Universitätsprofessor und dem Bürgermeister ihres Heimatortes in Italien an. Bis der Irrtum aufgeklärt war, verging etwa ein Monat, sagte der 38-Jährige, doch privat ist die Verwechslung bis heute Thema. Als er von dem falschen Foto erfahren habe, habe er noch geglaubt, dass sich das schnell aufklären werde. Doch plötzlich war sein Gesicht in Zeitungen, im Fernsehen und im Internet zu sehen. Es war sehr schockierend, zu sehen, wie die Medien arbeiten. Da schreibt jemand etwas über Twitter, und innerhalb von einer Stunde glauben alle weltweit, dass das eine belegte Nachricht ist. In Österreich saß neben Österreich, wo das falsche Foto in den Ausgaben von Wien, Burgenland, Ober- und Niederösterreich publiziert wurde, auch die Kronen Zeitung dem Irrtum auf. Die Kronen Zeitung hatte sich allerdings bereits am nächsten Tag für die Verwechslung entschuldigt und eine Richtigstellung ins Blatt gerückt. Man habe sich mit der Krone auch umgehend auf einen außergerichtlichen Vergleich geeinigt, sodass in diesem Fall die Sache gar nicht gerichtsanhängig wurde, sagte Windhager. Österreich wurde nun wegen der medienrechtlichen Tatbestände der üblen Nachrede, der Verletzung des höchstpersönlichen Lebensbereichs und der Verletzung der Unschuldsvermutung verurteilt. Die Verletzung des Identitätsschutzes war für Richter Stefan Apostol nicht gegeben, da der in der Schweiz sesshafte Mann nur von einem österreichischen Freund darauf angesprochen wurde, dass er konkret auf dem Titelblatt von Österreich zu sehen sei. Der Presserat hatte sowohl die Kronen Zeitung als auch Österreich für die unverpixelte Bildveröffentlichung abgemahnt. Diese sei mit dem Ehrenkodex für die österreichische Presse nicht vereinbar. Es handle sich um einen schwerwiegenden Verstoß gegen die journalistische Genauigkeit und gegen den Persönlichkeitsschutz.
